,日本語,英語,中国語,ポルトガル語,モンゴル語
278,初席者,a person attending the Besseki lecture for the first time,初席者,O ouvinte do primeiro Besseki,анх удаа Бэссэки лекц сонсогч
279,おかきさげ,the Kakisage,神训,Okakisague (Palavras Divinas),Какисагэ
280,仮席,Post-Bestowal Lectures,结席讲话,Karisseki ,Хүртэн авсаны дараах яриа
281,よふぼく,Yoboku,用木,Yoboku / A madeira usável,Ёобокү
282,教人,lay minister,教人,O Mestre do Caminho,Тэнрикёо номлогч
283,お供え（金銭）,donation(s),奉献,A oferenda,өргөл (мөнгө)
284,お供え物,offerings (of food and drink),供奉品,A oferenda,өргөл
285,おさがり,offerings taken down from the altar,撤供,A oferenda retirada,өргөлд барьсан зүйл
286,真柱様,the Shinbashira,真柱先生,O Shimbashira,Шинбашира
287,布教,missionary work,布教,A divulgação,Тэнрикёогийн сургаалыг түгэн дэлгэрүүлэх
288,にをいがけ,spreading the fragrance of the teachings,播香,Expandir a fragrância,үнэр түгээх сургаалыг түгээх
289,神名流し,spreading the name of God,宣扬神名,Divulgar o nome de Deus,Эцэг Эх бурхны нэрийг түгээх
290,路傍講演,roadside speech,路旁演讲,O oratória de rua,гудаминд яриа тавих
291,神殿案内,sanctuary guide,神殿导览,A visita guiada da igreja,Төв сүмийн танилцуулга
292,月次祭,monthly service,月次祭,A Cerimônia Mensal,Сар бүрийн мөргөлийн өдөр
293,大祭,grand service,大祭,A Grande Cerimônia,Их мөргөлийн өдөр
294,春季大祭,(the) Spring Grand Service,春季大祭,A Grande Cerimônia de janeiro,Хаврын их мөргөлийн өдөр
295,秋季大祭,(the) Autumn Grand Service,秋季大祭,A Grande Cerimônia de outubro,Намрын их мөргөлийн өдөр
296,元旦祭,(the) New Year's Day Service,元旦祭,A Cerimônia do Ano-Novo,Цагаан сарын мөргөлийн өдөр
297,教祖御誕生祭,(the) Oyasama Birth Celebration Service,教祖诞辰祭,A Festa Natalícia de Oyassama,Оясама төрсөн өдрийн баяр
298,教祖140年祭,the 140th Anniversary of Oyasama,教祖140年祭,Os 140 anos do Ocultamento Físico de Oyassama,Оясама 140 жилийн ой
299,三年千日,"""three years, one thousand days""",三年千日,"Os três anos, mil dias",гурван жил мянган өдөр
300,おぢばがえり,pilgrimage to Jiba,返回原地,O regresso a Jiba,Жибад харин ирэх
301,勇む,become spirited,踊跃,animar-se,сэтгэл зоригжих
302,旬,season,时旬,O tempo oportuno,боломжийн үе
303,胸に治まる,settle in one's heart,修至内心,Estabelecer no coração,зүрх сэтгэлдээ тогтоон барих
304,神の引き寄せ,be drawn forth by God,神的招引；聚集,A orientação de Deus,бурханаас урих
305,信仰,faith,信仰,A fé,сүсэг бишрэл 
306,信仰初代,first-generation follower,初代信仰者,O primeira geração da fé,анхны үеийн итгэгч
307,縦の伝道,vertical mission,竖向传道,A transmissão vertical,Эцэг эхээс хүлээн авсан шашин шүтлэг дараагийн үеийн хүнд дамжуулах
308,道の子,children of the path,天理子女,Os filhos do caminho,сүсэг бишрэлийн замын үр хүүхдүүд
309,感謝・慎み・たすけあい,"Gratitude, Moderation, Mutual Help",感谢、谨慎、互助,"A gratidão, a satisfação e salvação mútua","талархал, хичээнгүйлэл,туслал"
310,青年会,(the) Young Men's Association,青年会,A Associação dos Moços,Тэнрикёо Залуучуудын холбоо
311,婦人会,(the) Women's Association,妇女会,A Associação Feminina,Тэнрикёо Эмэгтэйчүүдийн холбоо
312,少年会,(the) Boys and Girls Association,少年会,A Associação Infantojuvenil,Тэнрикёо Охид хөвгүүдийн холбоо
313,天理教教会本部,Tenrikyo Church Headquarters,天理教教会本部,A Sede da Igreja Tenrikyo,Тенрикёо ерөнхий газар
314,元のぢば,Jiba of Origin,元始原地,Jiba da origem,Эх үүслийн Жиба
315,神殿,(the) Main Sanctuary,神殿,O Santuário Principal,их сүм
316,礼拝場,worship hall,礼拜场,O Recinto de Reverência,мөргөлийн газар 
317,教祖殿,(the) Foundress' Sanctuary,教祖殿,Residência de Oyassama,Оясамагийн өргөө
318,祖霊殿,(the) Memorial Hall,祖灵殿,O Memorial dos Antepassados,Өвөг дээдсийн өргөө
319,御用場,(the) Foundress' Hall,御用场,Recinto de Trabalho,бурханы ажлын газар
320,祖霊様,(the) memorial,祖灵,Os antepassados,өвөг дээдэс (сураалын дамжуулагч ахмагчын сүнс)
321,神殿講話,sermon,神殿讲话,A palestra no Santuário Principal,мөргөлийн дараах яриа
322,中庭,(the) Inner Courtyard,中庭,O pátio central,харш
323,御休息所,(the) Resting House,休息所,A Casa de Repouso,амралтын өрөө
324,内蔵,(the) Storehouse,库房,O Depósito Interno,дотуур агуулах
325,鳴物,musical instruments,神乐器,Os instrumentos musicais,хөгжмийн зэмсэг
326,琴,koto,古琴,Koto,ятга
327,三味線,shamisen,三味线,Shamisem,шанз
328,胡弓,kokyu,胡弓, Kokyu,хуучир
329,地方,singer,歌唱者,O Cantor,Мөргөлийн дуу дуулах хүн
330,てをどり,service dance,手舞,A Dança das Mãos,гарын бүжиг
331,笛,flute,笛子,A Flauta,лимбэ
332,太鼓,large drum,大鼓,O Bombo,бөмбөр
333,ちゃんぽん,symbals,查查,O Címbalo,цан
334,すりがね,gong,钲,O Gongo,сүриганэ
335,拍子木,wooden clappers,拍子木,A Ritmadeira,цохилын мод
336,小鼓,small drum,小鼓,O Tamboril,жижг бөмбөр
337,数取り,counter,数穗,O Contador,тоолуур
338,八足,stand,八足,A Mesinha,тавиур
339,祭主,chief officiant,祭主,O Oficiante,(Бурханы зан үйлийн ёслол) Удирдагч
340,指図方,director,指示者,Indicante,дохио өгөх хүн
341,扈者,assistant,扈者,Assistente,дагагч
342,賛者,attendant,赞者,O Auxiliar,(бурханы зан үйл) бэлтгэгч
343,合図木,signal block,醒木,Madeira de sinal - aizugui,дохио өгөх
344,調弦,tuning,调弦,A afinação,хөгжимийн зэмсэгийн хөвч тааруулах
345,譜面,practice manual for musical instruments,乐谱,A partitura,хөгжмийн ноот
346,重ね打ち,double beat,重打,A dupla batida,давтан цохих
347,詰所,followers dormitory,诘所,O alojamento,Тэнрикёогийн дотуур байр
348,布教所,mission station,布教所,A casa de divulgação,Цуглааны газар
349,出張所,mission center,出张所,O centro missionário,Тэнрикёо түгэн дэлгэрүүлэх газар
350,伝道庁,mission headquarters,传道厅,"A sede missionária, Dendotyo",Тэнрикёо _______(улс/орон) дахь төв
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
